dauid,int_d,dwl_d,z_int_d,z_dwl_d,ale_index,ale_class
10010165,23.4,682.79999,-0.13685788,-0.16414811,-0.30100599,2
10010166,24.299999,738.29999,-0.093602844,-0.11501764,-0.20862047,2
10010167,30.4,882,0.19957019,0.012190445,0.21176064,3
10010168,39.400002,1084.4,0.63212061,0.19136174,0.82348233,3
10010169,34.900002,986.40002,0.41584539,0.10460884,0.52045423,3
10010170,33.299999,897.09998,0.33894753,0.025557473,0.36450502,3
10010171,25,690.5,-0.059960037,-0.15733181,-0.21729185,2
10010172,32.299999,905.29999,0.2908864,0.032816391,0.32370278,3
10010173,29.1,890,0.1370907,0.019272314,0.15636301,3
10010174,31.700001,939.09998,0.2620497,0.062737286,0.32478699,3
10010175,36.799999,1098.3,0.50716156,0.20366649,0.71082807,3
10010176,34.900002,1070.5,0.41584539,0.17905699,0.5949024,3
10010180,17,314.60001,-0.44444928,-0.49009115,-0.93454039,2
10010181,25.9,613.79999,-0.016704999,-0.22522923,-0.24193422,2
10010182,21.799999,454,-0.21375573,-0.36668956,-0.58044529,2
10010184,12.5,216,-0.66072446,-0.57737517,-1.2380997,1
10010187,15.1,316.5,-0.53576547,-0.48840919,-1.0241747,2
10010191,1,71.400002,-1.2134278,-0.70537996,-1.9188077,1
10010192,11.5,195.8,-0.70878565,-0.59525692,-1.3040426,1
10010193,17.9,377.10001,-0.40119424,-0.43476403,-0.8359583,2
10010194,10.2,270.89999,-0.77126515,-0.52877587,-1.300041,1
10010195,19.200001,667.79999,-0.33871475,-0.17742661,-0.51614136,2
10010196,25.6,849.90002,-0.031123346,-0.016225556,-0.047348902,3
10010198,29.1,992.59998,0.1370907,0.11009729,0.24718799,3
10010199,27.5,938.70001,0.060192849,0.062383194,0.12257604,3
10010200,34.900002,1105.2,0.41584539,0.2097746,0.62562001,3
10010201,35.900002,1061,0.46390656,0.17064728,0.63455385,3
10010202,37.5,1080.6,0.54080439,0.18799785,0.72880226,3
10010203,39.099998,1084.6,0.61770225,0.1915388,0.80924106,3
10010204,34.900002,1059.8,0.41584539,0.16958499,0.58543038,3
10010206,34.299999,1014.2,0.3870087,0.12921834,0.51622707,3
10010207,29.1,773.59998,0.1370907,-0.083768882,0.053321809,2
10010208,9.3000002,369.20001,-0.81452018,-0.44175738,-1.2562776,2
10010209,28.200001,781.29999,0.093835659,-0.076952584,0.01688307,2
10010210,35.5,986.70001,0.44468209,0.10487441,0.54955649,3
10010211,35.900002,1117.2,0.46390656,0.22039741,0.68430394,3
10010212,36.799999,1133.9,0.50716156,0.23518081,0.74234241,3
10010213,28.799999,974.70001,0.12267235,0.09425161,0.21692395,3
10010214,33.900002,1079.9,0.36778423,0.18737818,0.55516243,3
10010215,33.599998,961,0.3533659,0.082123905,0.4354898,3
10010216,41.599998,1128.1,0.73785514,0.23004645,0.96790159,3
10010217,42.900002,1251,0.80033463,0.33884168,1.1391762,3
10010218,41,1284.1,0.70901841,0.3681429,1.0771613,3
10010219,34.599998,1110.3,0.40142703,0.21428929,0.61571634,3
10010220,35.5,1039.2,0.44468209,0.15134919,0.59603125,3
10010221,43.200001,1347.2,0.814753,0.42400116,1.2387542,3
10010222,47.400002,1371.3,1.0166098,0.4453353,1.4619451,3
10010223,68.199997,1698.5,2.0162818,0.73498374,2.7512655,4
10010224,65,1628.3,1.8624861,0.67284036,2.5353265,4
10010225,74.599998,1760,2.3238733,0.78942561,3.1132989,4
10010226,82.300003,1678.6,2.6939442,0.71736759,3.4113116,4
10010227,93.5,1632.2,3.232229,0.67629278,3.9085219,4
10010228,91.599998,1666.6,3.1409128,0.70674479,3.8476577,4
10010229,87.699997,1628.9,2.9534743,0.67337149,3.6268458,4
10010230,97.699997,1606.3,3.4340858,0.65336519,4.087451,4
10010231,72.099998,1451.5,2.2037203,0.51633102,2.7200513,3
10010232,61.5,1412.5,1.6942722,0.4818069,2.176079,3
10010233,55.400002,1191.8,1.4010991,0.28643584,1.6875349,3
10010234,61.5,1526.7,1.6942722,0.58290058,2.2771728,3
10010235,52.5,1289.5,1.2617217,0.37292317,1.6346449,3
10010236,44.200001,1094.8,0.86281413,0.20056817,1.0633823,3
10010237,37.799999,802.79999,0.55522275,-0.057920061,0.49730268,2
10010238,35.200001,831,0.43026373,-0.032956474,0.39730728,2
10010239,43.900002,1198.8,0.84839576,0.29263246,1.1410283,3
10010240,37.5,960,0.54080439,0.081238672,0.62204307,3
10010241,39.700001,1069.1,0.64653891,0.17781767,0.82435662,3
10010242,31.4,801.09998,0.24763136,-0.059424959,0.18820639,2
10010243,4.8000002,97,-1.0307953,-0.68271798,-1.7135134,1
10010244,13.1,270.20001,-0.63188779,-0.52939552,-1.1612833,1
10010245,18.6,385.20001,-0.36755142,-0.42759365,-0.79514509,2
10010246,25.299999,571.20001,-0.045541693,-0.26294017,-0.30848187,2
10010247,27.9,737.09998,0.079417311,-0.11607991,-0.036662605,2
10010248,33.900002,877.79999,0.36778423,0.008472464,0.3762567,3
10010249,9.8999996,174.2,-0.78568345,-0.61437798,-1.4000614,1
10010250,43.200001,734,0.814753,-0.11882414,0.69592881,2
10010251,55.700001,984,1.4155174,0.10248428,1.5180017,3
10010252,46.099998,760.90002,0.95413035,-0.095011353,0.859119,2
10010253,30.1,534.79999,0.18515185,-0.29516268,-0.11001084,2
10010254,30.700001,633.29999,0.21398854,-0.20796718,0.006021371,2
10010255,37.5,764.90002,0.54080439,-0.09147042,0.44933397,2
10010256,40,893.59998,0.66095728,0.022459157,0.68341643,3
10010257,47.700001,893.79999,1.0310282,0.022636203,1.0536643,3
10010258,51.200001,929.79999,1.1992422,0.054504614,1.2537469,3
10010259,41,827.5,0.70901841,-0.03605479,0.67296362,2
10010260,39.099998,827.20001,0.61770225,-0.036320359,0.58138186,2
10010261,42,891.09998,0.7570796,0.020246072,0.77732569,3
10010262,39.099998,897.59998,0.61770225,0.026000092,0.64370233,3
10010263,36.799999,894,0.50716156,0.022813249,0.52997482,3
10010264,40.299999,948.90002,0.67537564,0.071412578,0.7467882,3
10010265,41.599998,902.79999,0.73785514,0.030603306,0.76845843,3
10010266,41.299999,897.79999,0.72343677,0.026177136,0.74961394,3
10010267,34.299999,855.79999,0.3870087,-0.011002677,0.37600601,3
10010268,33.599998,844.90002,0.3533659,-0.020651724,0.33271417,3
10010269,25.9,555.5,-0.016704999,-0.27683836,-0.29354334,2
10010270,25,547,-0.059960037,-0.28436282,-0.34432286,2
10010271,17.299999,257.70001,-0.43003094,-0.54046094,-0.97049189,1
10010272,24.700001,482.70001,-0.074378386,-0.34128335,-0.41566175,2
10010273,24.299999,484.5,-0.093602844,-0.33968994,-0.43329278,2
10010276,30.1,642,0.18515185,-0.20026563,-0.015113788,2
10010277,24.299999,501.10001,-0.093602844,-0.32499507,-0.41859791,2
10010278,30.700001,615.20001,0.21398854,-0.2239899,-0.010001358,2
10010279,37.799999,716.59998,0.55522275,-0.1342272,0.42099553,2
10010280,19.9,380,-0.30507192,-0.43219686,-0.73726881,2
10010281,19.200001,392,-0.33871475,-0.42157406,-0.76028877,2
10010282,1,29.799999,-1.2134278,-0.74220568,-1.9556334,1
10010283,21.1,396.5,-0.24739854,-0.4175905,-0.66498905,2
10010284,40.299999,708.70001,0.67537564,-0.14122055,0.53415507,2
10010285,27.5,657.70001,0.060192849,-0.18636747,-0.12617461,2
10010286,19.200001,331.20001,-0.33871475,-0.47539628,-0.81411099,2
10010290,65.599998,766.40002,1.8913229,-0.09014257,1.8011802,2
10010294,78.800003,951.79999,2.5257301,0.073979758,2.5997097,3
10010295,74.300003,883.59998,2.3094549,0.013606819,2.3230617,3
10010296,74.900002,918.70001,2.3382916,0.04467852,2.3829701,3
10010297,82.300003,1260.1,2.6939442,0.3468973,3.0408413,3
10010298,93.800003,1340.7,3.2466474,0.41824713,3.6648946,3
10010299,91.599998,1294.2,3.1409128,0.37708378,3.5179965,3
10010300,97.400002,1541.5,3.4196675,0.59600204,4.0156698,4
10010301,68.199997,1110.5,2.0162818,0.21446635,2.2307482,3
10010302,74.900002,1378.4,2.3382916,0.45162043,2.789912,3
10010303,73.300003,1471.8,2.2613938,0.53430128,2.7956951,3
10010304,65.599998,1404.1,1.8913229,0.47437096,2.3656938,3
10010305,56.700001,1115,1.4635786,0.21844989,1.6820284,3
10010306,50.299999,1089.1,1.1559871,0.19552234,1.3515096,3
10010307,58.599998,1460.9,1.5548948,0.52465224,2.0795469,3
10010308,101.2,1609.9,3.6022999,0.65655202,4.258852,4
10010309,89.300003,1433.2,3.0303721,0.50013125,3.5305035,3
10010310,60.5,1080.4,1.6462109,0.18782081,1.8340317,3
10010334,0,9.5,-1.2614889,-0.76017594,-2.0216649,1
10010335,0,39.5,-1.2614889,-0.73361892,-1.9951079,1
10010336,7.4000001,226,-0.90583634,-0.56852287,-1.4743592,1
10010337,23.4,407,-0.13685788,-0.40829554,-0.54515344,2
10010338,26.6,504,0.016937809,-0.3224279,-0.30549008,2
10010339,36.5,737.90002,0.49274325,-0.11537173,0.37737152,2
10010340,36.200001,847.5,0.47832489,-0.018350117,0.45997477,3
10010341,40,956.90002,0.66095728,0.078494444,0.73945171,3
10010342,42,1003.1,0.7570796,0.11939225,0.87647182,3
10010343,37.5,900.5,0.54080439,0.028567268,0.56937164,3
10010344,31.4,746.70001,0.24763136,-0.10758167,0.14004968,2
10010345,20.5,469.60001,-0.27623522,-0.35287991,-0.62911516,2
10010346,32.299999,746.29999,0.2908864,-0.10793576,0.18295063,2
10010348,13.5,124.9,-0.61266333,-0.65801996,-1.2706833,1
10010356,42,880.20001,0.7570796,0.010597025,0.76767659,3
10010357,23.4,443.79999,-0.13685788,-0.37571895,-0.51257682,2
10010457,30.700001,713.09998,0.21398854,-0.13732553,0.076663017,2
10010458,35.900002,859.09998,0.46390656,-0.008081406,0.45582515,3
10010459,41,1025.8,0.70901841,0.13948704,0.8485055,3
10010460,30.4,821,0.19957019,-0.04180881,0.15776138,2
10010461,39.700001,1121.1,0.64653891,0.22384982,0.87038875,3
10010482,60.5,852.29999,1.6462109,-0.014100995,1.63211,3
10010484,28.5,825.70001,0.108254,-0.037648212,0.070605792,2
10010485,30.700001,649.5,0.21398854,-0.19362639,0.020362157,2
10010486,15.1,237.10001,-0.53576547,-0.55869675,-1.0944623,1
10010488,33.299999,984.40002,0.33894753,0.10283837,0.44178593,3
10010489,26.9,849.09998,0.031356156,-0.016933743,0.014422412,3
10010490,20.799999,662.90002,-0.26181689,-0.18176426,-0.44358113,2
10010491,4.5,92.5,-1.0452137,-0.68670154,-1.7319152,1
10010492,13.8,309.89999,-0.59824497,-0.49425173,-1.0924968,2
10010493,11.5,334.89999,-0.70878565,-0.47212091,-1.1809065,2
10010494,13.1,305.79999,-0.63188779,-0.4978812,-1.129769,2
10010495,12.5,273.60001,-0.66072446,-0.52638572,-1.1871102,1
10010496,1,13.6,-1.2134278,-0.7565465,-1.9699743,1
10010497,0,2.3,-1.2614889,-0.76654965,-2.0280385,1
10010498,7,16,-0.92506081,-0.75442195,-1.6794827,1
10010499,0,2.4000001,-1.2614889,-0.76646107,-2.02795,1
10010500,0,10.5,-1.2614889,-0.7592907,-2.0207796,1
10010501,0,1.2,-1.2614889,-0.76752341,-2.0290122,1
10010502,0.60000002,7.5999999,-1.2326522,-0.76185787,-1.9945101,1
10010503,3.2,12.4,-1.1076932,-0.75760877,-1.865302,1
10010504,2.9000001,37.599998,-1.1221116,-0.7353009,-1.8574125,1
10010505,8.3000002,49.900002,-0.86258131,-0.7244125,-1.5869938,1
10010506,8.3000002,49.5,-0.86258131,-0.72476661,-1.5873479,1
10010507,7.6999998,60.200001,-0.89141804,-0.7152946,-1.6067126,1
10010508,0.30000001,20.5,-1.2470706,-0.75043839,-1.9975089,1
10010509,1.3,40.400002,-1.1990094,-0.73282224,-1.9318316,1
10010510,24.700001,157,-0.074378386,-0.62960398,-0.70398235,1
10010511,22.4,158.60001,-0.18491904,-0.6281876,-0.81310666,1
10010512,11.5,124.7,-0.70878565,-0.65819705,-1.3669827,1
10010513,8.3000002,61.799999,-0.86258131,-0.71387821,-1.5764595,1
10010514,25.299999,162.5,-0.045541693,-0.62473518,-0.67027688,1
10010515,9.8999996,120.6,-0.78568345,-0.66182649,-1.44751,1
10010516,18.9,147.10001,-0.35313308,-0.63836777,-0.99150085,1
10010517,4.1999998,68.099998,-1.0596321,-0.70830125,-1.7679332,1
10010518,11.2,94.699997,-0.72320396,-0.68475401,-1.407958,1
10010519,6.0999999,71.900002,-0.96831584,-0.70493734,-1.6732532,1
10010520,0,1.1,-1.2614889,-0.76761192,-2.0291009,1
10010521,12.8,62.799999,-0.6463061,-0.71299297,-1.3592991,1
10010522,4.1999998,22.799999,-1.0596321,-0.74840236,-1.8080344,1
10010523,17,76,-0.44444928,-0.70130789,-1.1457572,1
10010524,1,13.3,-1.2134278,-0.75681204,-1.9702398,1
10010525,10.3,49.299999,-0.76645899,-0.72494364,-1.4914026,1
10010526,1.3,22.799999,-1.1990094,-0.74840236,-1.9474118,1
10010527,1.6,19.1,-1.1845911,-0.75167769,-1.9362688,1
10010528,0,17.5,-1.2614889,-0.75309408,-2.0145829,1
10010529,4.8000002,53.599998,-1.0307953,-0.72113711,-1.7519325,1
10010530,1.6,43.799999,-1.1845911,-0.72981244,-1.9144034,1
10010531,0.30000001,40,-1.2470706,-0.73317629,-1.9802469,1
10010532,10.6,90.900002,-0.75204068,-0.68811792,-1.4401586,1
10010533,10.9,101.3,-0.73762232,-0.67891151,-1.4165338,1
10010534,4.5,28.5,-1.0452137,-0.74335653,-1.7885702,1
10010535,4.5,55.799999,-1.0452137,-0.71918964,-1.7644033,1
10010536,8.6000004,73.800003,-0.84816295,-0.70325541,-1.5514184,1
10010537,12.2,140,-0.67514282,-0.64465296,-1.3197957,1
10010538,15.4,146.89999,-0.52134711,-0.63854486,-1.159892,1
10010539,10.9,125.8,-0.73762232,-0.65722328,-1.3948456,1
10010540,6.0999999,88.900002,-0.96831584,-0.68988836,-1.6582042,1
10010541,5.4000001,75,-1.0019586,-0.70219314,-1.7041517,1
10010542,2.2,40.599998,-1.1557543,-0.73264515,-1.8883995,1
10010543,3.8,51.599998,-1.0788565,-0.7229076,-1.8017641,1
10010544,0.60000002,35.900002,-1.2326522,-0.7368058,-1.969458,1
10010545,1,25,-1.2134278,-0.74645483,-1.9598826,1
10010546,2.9000001,33.400002,-1.1221116,-0.73901886,-1.8611304,1
10010547,0,23.9,-1.2614889,-0.7474286,-2.0089176,1
10010548,5.4000001,45.700001,-1.0019586,-0.72813046,-1.7300892,1
10010549,8,36.099998,-0.87699968,-0.73662871,-1.6136284,1
10010550,5.0999999,38.099998,-1.016377,-0.73485827,-1.7512352,1
10010551,2.2,33.599998,-1.1557543,-0.73884183,-1.8945962,1
10010552,12.2,16,-0.67514282,-0.75442195,-1.4295647,1
10010553,0.60000002,16,-1.2326522,-0.75442195,-1.9870741,1
10010554,3.2,21.9,-1.1076932,-0.74919903,-1.8568922,1
10010555,1.3,12.8,-1.1990094,-0.75725466,-1.956264,1
10010556,5.8000002,8.8999996,-0.9827342,-0.76070708,-1.7434413,1
10010557,1.3,11.5,-1.1990094,-0.75840545,-1.9574149,1
10010558,6.4000001,27.4,-0.95389754,-0.74433023,-1.6982278,1
10010559,0.60000002,14.7,-1.2326522,-0.75557274,-1.988225,1
10010560,1.3,9.5,-1.1990094,-0.76017594,-1.9591854,1
10010561,0.60000002,10.2,-1.2326522,-0.75955629,-1.9922085,1
10010562,0.30000001,8.6000004,-1.2470706,-0.76097268,-2.0080433,1
10010563,0.30000001,10.7,-1.2470706,-0.75911367,-2.0061841,1
10010564,0,11.6,-1.2614889,-0.75831693,-2.0198059,1
10010565,3.5,18.299999,-1.0932748,-0.75238585,-1.8456607,1
