DAUID,pop_density_1km,dwel_density_1km,pop_in_buffer,dwel_in_buffer
10010165,1630.329004,794.2045685,5121.829621,2495.067238
10010166,1720.318238,838.8603205,5404.539137,2635.35742
10010167,1958.917192,946.2091664,6154.11986,2972.603766
10010168,2464.059965,1213.537638,7741.072683,3812.440928
10010169,2320.236629,1134.308987,7289.238349,3563.536779
10010170,2084.084616,1018.018595,6547.344918,3198.199741
10010171,1569.031789,757.3305963,4929.258743,2379.224238
10010172,2245.730039,1114.097269,7055.168993,3500.039795
10010173,2138.590776,1095.75453,6718.58107,3442.41438
10010174,2206.178585,1109.743606,6930.914436,3486.362359
10010175,2465.178584,1263.853969,7744.586929,3970.514345
10010176,2434.517617,1291.718614,7648.262659,4058.053709
10010180,1153.673557,542.5768017,3624.372371,1704.555294
10010181,1436.946689,714.898934,4514.301161,2245.921239
10010182,1278.392607,621.1754887,4016.188822,1951.480352
10010187,849.8602672,428.9309204,2669.914772,1347.526228
10010191,284.4666533,124.704783,893.6783481,391.77163
10010192,458.6709168,212.955669,1440.957183,669.0199653
10010193,867.7512827,452.7090429,2726.121055,1422.227403
10010194,718.3194589,356.5731479,2256.667135,1120.207582
10010195,1344.514887,693.703653,4223.918092,2179.3343
10010196,1688.228646,883.3266035,5303.726713,2775.052368
10010198,1945.722848,1015.036004,6112.668605,3188.829653
10010199,1950.322832,1021.564097,6127.119883,3209.338263
10010200,2293.349772,1196.765876,7204.770796,3759.750884
10010201,2229.361648,1172.332957,7003.746176,3682.992604
10010202,2424.460028,1279.930075,7616.665812,4021.018921
10010203,2467.954776,1277.51588,7753.308593,4013.434502
10010204,2383.982243,1271.661336,7489.501102,3995.041912
10010206,2423.938038,1271.604295,7615.025933,3994.862711
10010207,1964.223665,1009.485745,6170.790636,3171.393
10010208,1259.869715,656.5310334,3957.99744,2062.553072
10010209,1908.875484,1019.45169,5996.909198,3202.701939
10010210,2208.770771,1160.989269,6939.058026,3647.355359
10010211,2336.098916,1207.647451,7339.071192,3793.93636
10010212,2164.267329,1201.258999,6799.24634,3773.866446
10010213,1907.503403,1038.529933,5992.598679,3262.638008
10010214,2098.974064,1218.640375,6594.121499,3828.471648
10010215,1958.649505,1124.307503,6153.278896,3532.11619
10010216,2189.241664,1284.942725,6877.705529,4036.766626
10010217,2430.722406,1421.587946,7636.339654,4466.050247
10010218,2475.872858,1444.917484,7778.183982,4539.342153
10010219,2366.236465,1345.364014,7433.751094,4226.585702
10010220,2213.743403,1237.628593,6954.680012,3888.124897
10010221,2729.486366,1573.812327,8574.934315,4944.277246
10010222,2843.27956,1606.578072,8932.426179,5047.213869
10010223,3456.615793,1977.904603,10859.27878,6213.77057
10010224,3207.749763,1887.682337,10077.44309,5930.328961
10010225,3493.295657,2053.956987,10974.51197,6452.696183
10010226,3357.968683,2012.947887,10549.36975,6323.862294
10010227,3258.512204,1942.629148,10236.918,6102.949461
10010228,3395.465219,2003.562282,10667.16859,6294.376547
10010229,3573.359886,2028.556395,11226.04117,6372.897869
10010230,3514.56629,2009.099867,11041.33564,6311.773382
10010231,3195.880065,1743.71607,10040.15334,5478.045594
10010232,2979.724525,1613.653651,9361.080679,5069.442455
10010233,2614.117941,1392.781904,8212.493719,4375.553397
10010234,3232.828098,1799.349718,10156.229,5652.823856
10010235,2716.534294,1479.804228,8534.244181,4648.942093
10010236,2281.241613,1247.578316,7166.731893,3919.382871
10010237,1960.275352,1049.247031,6158.386646,3296.306763
10010238,1785.866149,961.5125029,5610.463975,3020.680615
10010239,2474.72979,1364.302567,7774.592927,4286.082922
10010240,2139.370284,1169.551721,6721.029967,3674.255094
10010241,2311.677675,1282.430401,7262.349601,4028.873925
10010242,1822.462316,987.8001681,5725.434224,3103.265751
10010243,604.5589552,297.5775158,1899.277972,934.8673374
10010244,775.6905207,392.1744284,2436.903641,1232.052303
10010245,1003.420047,514.9555085,3152.337048,1617.780442
10010246,1382.67311,725.5608032,4343.795685,2279.416489
10010247,1628.797726,872.4627164,5117.01897,2740.92246
10010248,1878.866311,1014.968739,5902.6326,3188.618334
10010249,845.3046851,442.2443967,2655.602989,1389.351748
10010250,2164.434815,1144.296937,6799.772515,3594.914852
10010251,2247.476842,1168.008957,7060.656736,3669.408358
10010252,1858.164653,911.2991828,5837.596422,2862.930818
10010253,1275.722205,617.9024703,4007.799509,1941.197861
10010254,1515.97828,705.6834903,4762.586229,2216.970069
10010255,1726.094107,810.6206573,5422.684565,2546.639902
10010256,2043.107981,979.3961314,6418.613024,3076.863691
10010257,2023.764037,993.2438403,6357.84223,3120.367552
10010258,2036.344576,983.2283406,6397.365161,3088.902932
10010259,1886.616854,885.4777464,5926.98165,2781.810383
10010260,1914.00366,948.6058841,6013.019837,2980.133277
10010261,2082.499608,1006.445475,6542.365469,3161.841712
10010262,2129.10653,981.4803786,6688.785433,3083.411547
10010263,2136.774765,963.6439937,6712.875903,3027.376891
10010264,2255.030331,1016.908403,7084.386721,3194.711969
10010265,2208.286011,1010.019629,6937.535108,3173.070248
10010266,2205.015822,1007.677383,6927.261507,3165.711863
10010267,2179.716982,946.8101716,6847.782858,2974.491879
10010268,2101.850582,913.1989319,6603.158349,2868.899056
10010269,1645.502359,679.4837048,5169.498121,2134.661015
10010270,1513.57297,657.3813424,4755.029724,2065.224396
10010271,1473.970634,547.1536012,4630.615316,1718.933734
10010272,1669.595211,650.5220482,5245.188049,2043.675288
10010273,1368.734099,562.8653828,4300.00499,1768.293752
10010276,1866.800041,828.0789976,5864.725295,2601.486895
10010277,1513.106128,663.0421606,4753.563095,2083.008381
10010278,1799.75362,800.7282738,5654.092751,2515.562062
10010279,1997.470102,961.9634979,6275.237399,3022.097458
10010280,1245.875089,575.8377987,3914.032028,1809.047798
10010281,1204.962905,535.2070499,3785.50261,1681.402536
10010282,1082.749787,483.8427172,3401.558776,1520.036726
10010283,1056.799928,571.9018942,3320.034891,1796.682789
10010284,1620.955614,810.3793043,5092.38225,2545.881669
10010285,1654.919885,818.5446699,5199.084152,2571.533921
10010286,896.6925259,513.9052622,2817.042652,1614.480996
10010290,1773.87885,1020.154464,5572.804764,3204.909769
10010294,2297.631433,1433.584164,7218.222031,4503.737477
10010295,1959.400042,1198.386954,6155.636778,3764.843652
10010296,2031.881205,1197.395443,6383.343067,3761.728726
10010297,2741.041826,1583.729425,8611.236864,4975.432728
