DAUID,intersection_count,intersection_density
10010165,94,29.92112930127632
10010166,97,30.8760589598277
10010167,113,35.96901713876835
10010168,138,43.92676429336311
10010169,123,39.15211600060626
10010170,119,37.87887645587109
10010171,95,30.23943918746011
10010172,124,39.47042588679005
10010173,123,39.15211600060626
10010174,127,40.42535554534142
10010175,144,45.83662361046586
10010176,139,44.2450741795469
10010180,68,21.64507226049777
10010181,94,29.92112930127632
10010182,76,24.19155134996809
10010187,74,23.55493157760051
10010191,17,5.411268065124442
10010192,42,13.36901521971921
10010193,71,22.60000191904914
10010194,52,16.55211408155711
10010195,77,24.50986123615188
10010196,106,33.74084793548181
10010198,112,35.65070725258456
10010199,119,37.87887645587109
10010200,136,43.29014452099553
10010201,150,47.7464829275686
10010202,155,49.33803235848755
10010203,167,53.15775099269305
10010204,147,46.79155326901723
10010206,141,44.88169395191449
10010207,127,40.42535554534142
10010208,91,28.96619964272495
10010209,128,40.74366543152521
10010210,145,46.15493349664965
10010211,135,42.97183463481174
10010212,134,42.65352474862795
10010213,118,37.5605665696873
10010214,135,42.97183463481174
10010215,130,41.38028520389279
10010216,171,54.43099053742821
10010217,157,49.97465213085514
10010218,154,49.01972247230376
10010219,134,42.65352474862795
10010220,148,47.10986315520102
10010221,156,49.65634224467134
10010222,171,54.43099053742821
10010223,236,75.1211331393746
10010224,225,71.6197243913529
10010225,267,84.9887396110721
10010226,306,97.40282517223994
10010227,343,109.1802909610402
10010228,347,110.4535305057754
10010229,305,97.08451528605616
10010230,340,108.2253613024888
10010231,267,84.9887396110721
10010232,241,76.71268257029355
10010233,229,72.89296393608807
10010234,233,74.16620348082323
10010235,197,62.70704757820676
10010236,176,56.02253996834716
10010237,177,56.34084985453095
10010238,146,46.47324338283344
10010239,174,55.38592019597958
10010240,157,49.97465213085514
10010241,161,51.2478916755903
10010242,142,45.20000383809828
10010243,52,16.55211408155711
10010244,56,17.82535362629228
10010245,77,24.50986123615188
10010246,106,33.74084793548181
10010247,113,35.96901713876835
10010248,150,47.7464829275686
10010249,78,24.82817112233567
10010250,224,71.30141450516912
10010251,227,72.25634416372048
10010252,190,60.47887837492023
10010253,163,51.88451144795788
10010254,141,44.88169395191449
10010255,161,51.2478916755903
10010256,171,54.43099053742821
10010257,181,57.61408939926611
10010258,177,56.34084985453095
10010259,161,51.2478916755903
10010260,163,51.88451144795788
10010261,169,53.79437076506063
10010262,162,51.56620156177409
10010263,141,44.88169395191449
10010264,153,48.70141258611997
10010265,146,46.47324338283344
10010266,143,45.51831372428207
10010267,116,36.92394679731972
10010268,112,35.65070725258456
10010269,107,34.0591578216656
10010270,111,35.33239736640076
10010271,90,28.64788975654116
10010272,91,28.96619964272495
10010273,78,24.82817112233567
10010276,99,31.51267873219528
10010277,91,28.96619964272495
10010278,111,35.33239736640076
10010279,145,46.15493349664965
10010280,75,23.8732414637843
10010281,70,22.28169203286535
10010282,64,20.3718327157626
10010283,90,28.64788975654116
10010284,153,48.70141258611997
10010285,124,39.47042588679005
10010286,81,25.78310078088705
10010290,228,72.57465404990428
10010294,297,94.53803619658584
10010295,258,82.123950635418
10010296,258,82.123950635418
10010297,302,96.12958562750478
10010298,307,97.72113505842374
10010299,316,100.5859240340779
10010300,357,113.6366293676133
10010301,326,103.7690228959158
10010302,286,91.03662744856413
10010303,275,87.53521870054244
10010304,257,81.8056407492342
10010305,230,73.21127382227186
10010306,216,68.75493541569878
10010307,224,71.30141450516912
10010308,351,111.7267700505105
10010309,320,101.859163578813
10010310,222,70.66479473280152
10010337,108,34.37746770784939
10010338,120,38.19718634205488
10010339,154,49.01972247230376
10010340,150,47.7464829275686
10010341,159,50.61127190322272
10010342,156,49.65634224467134
10010343,138,43.92676429336311
10010344,121,38.51549622823867
10010345,115,36.60563691113593
10010346,138,43.92676429336311
10010348,86,27.374650211806
10010356,170,54.11268065124442
10010357,128,40.74366543152521
10010457,114,36.28732702495214
10010458,124,39.47042588679005
10010459,144,45.83662361046586
10010460,125,39.78873577297384
10010461,132,42.01690497626037
10010482,180,57.29577951308232
10010484,142,45.20000383809828
10010485,109,34.69577759403318
10010486,50,15.91549430918953
10010488,146,46.47324338283344
10010489,121,38.51549622823867
10010490,104,33.10422816311423
10010491,36,11.45915590261646
10010492,69,21.96338214668156
10010493,48,15.27887453682195
10010494,65,20.69014260194639
10010495,64,20.3718327157626
10010496,18,5.729577951308232
10010497,0,0
10010498,41,13.05070533353542
10010499,0,0
10010500,7,2.228169203286535
10010501,0,0
10010502,1,0.3183098861837907
10010503,8,2.546479089470326
10010504,8,2.546479089470326
10010505,17,5.411268065124442
10010506,9,2.864788975654116
10010507,7,2.228169203286535
10010508,1,0.3183098861837907
10010509,7,2.228169203286535
10010510,98,31.19436884601149
10010511,92,29.28450952890874
10010512,70,22.28169203286535
10010513,53,16.8704239677409
10010514,102,32.46760839074665
10010515,73,23.23662169141672
10010516,107,34.0591578216656
10010517,61,19.41690305721123
10010518,82,26.10141066707084
10010519,72,22.91831180523293
10010520,13,4.138028520389279
10010521,43,13.687325105903
10010522,71,22.60000191904914
10010523,63,20.05352282957881
10010524,83,26.41972055325463
10010525,37,11.77746578880025
10010526,19,6.047887837492023
10010527,8,2.546479089470326
10010528,0,0
10010529,45,14.32394487827058
10010530,33,10.50422624406509
10010531,15,4.774648292756861
10010532,53,16.8704239677409
10010533,43,13.687325105903
10010534,20,6.366197723675814
10010535,39,12.41408556116784
10010536,36,11.45915590261646
10010537,56,17.82535362629228
10010538,49,15.59718442300574
10010539,38,12.09577567498405
10010540,19,6.047887837492023
10010541,19,6.047887837492023
10010542,9,2.864788975654116
10010543,17,5.411268065124442
10010544,8,2.546479089470326
10010545,6,1.909859317102744
10010546,13,4.138028520389279
10010547,0,0
10010548,37,11.77746578880025
10010549,16,5.092958178940651
10010550,12,3.819718634205488
10010551,7,2.228169203286535
10010552,47,14.96056465063816
10010553,9,2.864788975654116
10010554,16,5.092958178940651
10010555,5,1.591549430918954
10010556,4,1.273239544735163
10010557,1,0.3183098861837907
10010558,15,4.774648292756861
10010559,3,0.954929658551372
10010560,13,4.138028520389279
10010561,6,1.909859317102744
10010562,4,1.273239544735163
10010563,0,0
10010564,2,0.6366197723675814
10010565,8,2.546479089470326
10010566,13,4.138028520389279
10010567,1,0.3183098861837907
10010568,9,2.864788975654116
10010569,10,3.183098861837907
10010570,17,5.411268065124442
10010571,3,0.954929658551372
10010572,31,9.867606471697512
10010573,26,8.276057040778557
10010574,47,14.96056465063816
10010575,26,8.276057040778557
10010576,42,13.36901521971921
10010577,45,14.32394487827058
10010578,32,10.1859163578813
10010579,21,6.684507609859605
10010580,40,12.73239544735163
10010581,46,14.64225476445437
10010582,56,17.82535362629228
10010583,62,19.73521294339502
10010584,61,19.41690305721123
10010585,61,19.41690305721123
10010586,54,17.1887338539247
10010587,44,14.00563499208679
10010588,39,12.41408556116784
10010589,26,8.276057040778557
10010590,30,9.549296585513721
10010591,38,12.09577567498405
10010592,15,4.774648292756861
10010593,49,15.59718442300574
10010594,51,16.23380419537332
10010595,64,20.3718327157626
10010596,65,20.69014260194639
10010597,54,17.1887338539247
10010598,70,22.28169203286535
10010599,84,26.73803043943842
10010600,83,26.41972055325463
10010601,63,20.05352282957881
10010602,71,22.60000191904914
10010603,76,24.19155134996809
10010604,52,16.55211408155711
10010605,28,8.91267681314614
10010607,72,22.91831180523293
10010608,72,22.91831180523293
10010610,75,23.8732414637843
10010611,76,24.19155134996809
10010614,54,17.1887338539247
10010617,96,30.5577490736439
10010618,116,36.92394679731972
10010619,79,25.14648100851947
10010620,75,23.8732414637843
10010621,90,28.64788975654116
10010622,104,33.10422816311423
10010623,123,39.15211600060626
10010624,133,42.33521486244416
10010625,145,46.15493349664965
10010626,144,45.83662361046586
10010627,160,50.92958178940651
10010628,145,46.15493349664965
10010629,170,54.11268065124442
10010630,164,52.20282133414167
10010631,168,53.47606087887684
10010632,116,36.92394679731972
10010633,126,40.10704565915763
10010634,87,27.69296009798979
10010635,92,29.28450952890874
10010636,134,42.65352474862795
10010637,126,40.10704565915763
10010638,169,53.79437076506063
10010639,162,51.56620156177409
10010640,169,53.79437076506063
10010641,163,51.88451144795788
10010642,148,47.10986315520102
10010643,83,26.41972055325463
10010644,74,23.55493157760051
10010645,82,26.10141066707084
10010646,82,26.10141066707084
10010647,105,33.42253804929802
10010648,87,27.69296009798979
10010649,116,36.92394679731972
10010650,137,43.60845440717932
10010651,85,27.05634032562221
10010652,75,23.8732414637843
10010653,43,13.687325105903
10010654,174,55.38592019597958
10010655,166,52.83944110650926
10010656,154,49.01972247230376
10010657,173,55.06761030979579
10010658,145,46.15493349664965
10010659,148,47.10986315520102
10010660,132,42.01690497626037
10010661,132,42.01690497626037
10010662,135,42.97183463481174
10010663,105,33.42253804929802
10010664,141,44.88169395191449
10010666,10,3.183098861837907
10010667,54,17.1887338539247
10010668,7,2.228169203286535
10010669,12,3.819718634205488
10010670,53,16.8704239677409
10010671,60,19.09859317102744
10010672,58,18.46197339865986
10010673,61,19.41690305721123
10010674,58,18.46197339865986
10010675,52,16.55211408155711
10010676,15,4.774648292756861
10010677,49,15.59718442300574
10010678,0,0
10010679,24,7.639437268410976
10010680,23,7.321127382227186
10010681,0,0
10010682,10,3.183098861837907
10010683,0,0
10010684,32,10.1859163578813
10010685,22,7.002817496043395
10010686,12,3.819718634205488
10010687,0,0
10010688,7,2.228169203286535
10010689,0,0
10010690,0,0
10010691,7,2.228169203286535
10010692,2,0.6366197723675814
10010693,1,0.3183098861837907
10010694,4,1.273239544735163
10010695,26,8.276057040778557
10010696,28,8.91267681314614
10010697,16,5.092958178940651
10010698,0,0
10010699,15,4.774648292756861
10010700,1,0.3183098861837907
10010701,5,1.591549430918954
10010702,31,9.867606471697512
10010703,23,7.321127382227186
10010704,14,4.45633840657307
10010705,19,6.047887837492023
10010706,0,0
10010707,35,11.14084601643267
10010708,2,0.6366197723675814
10010709,0,0
10010710,0,0
10010711,2,0.6366197723675814
10010712,20,6.366197723675814
10010713,28,8.91267681314614
10010714,0,0
10010715,0,0
10010716,3,0.954929658551372
10010717,3,0.954929658551372
10010718,0,0
10010719,0,0
10010720,3,0.954929658551372
10010721,28,8.91267681314614
10010722,0,0
10010723,1,0.3183098861837907
10010724,0,0
10010725,0,0
10010726,0,0
10010727,0,0
10010728,0,0
10010729,6,1.909859317102744
10010730,2,0.6366197723675814
10010731,1,0.3183098861837907
10010732,1,0.3183098861837907
10010733,14,4.45633840657307
10010734,7,2.228169203286535
10010735,9,2.864788975654116
10010736,13,4.138028520389279
10010737,0,0
10010738,14,4.45633840657307
10010739,2,0.6366197723675814
10010740,0,0
10010741,0,0
10010742,27,8.594366926962348
10010743,3,0.954929658551372
10010744,10,3.183098861837907
10010745,1,0.3183098861837907
10010746,0,0
10010747,5,1.591549430918954
10010748,12,3.819718634205488
10010749,0,0
10010750,5,1.591549430918954
10010751,1,0.3183098861837907
10010752,0,0
10010753,21,6.684507609859605
10010754,16,5.092958178940651
10010755,18,5.729577951308232
10010756,68,21.64507226049777
10010757,83,26.41972055325463
10010758,82,26.10141066707084
10010759,43,13.687325105903
10010760,27,8.594366926962348
10010761,5,1.591549430918954
10010762,9,2.864788975654116
10010763,2,0.6366197723675814
10010764,3,0.954929658551372
10010765,20,6.366197723675814
10010766,20,6.366197723675814
10010767,14,4.45633840657307
10010768,0,0
10010769,11,3.501408748021698
10010770,41,13.05070533353542
10010771,14,4.45633840657307
10010772,3,0.954929658551372
10010773,29,9.23098669932993
10010774,57,18.14366351247607
10010776,33,10.50422624406509
10010777,18,5.729577951308232
10010778,39,12.41408556116784
10010779,42,13.36901521971921
10010780,63,20.05352282957881
10010781,19,6.047887837492023
10010782,69,21.96338214668156
10010783,68,21.64507226049777
10010784,52,16.55211408155711
10010785,21,6.684507609859605
10010786,10,3.183098861837907
10010787,7,2.228169203286535
10010788,2,0.6366197723675814
10010789,0,0
10010790,18,5.729577951308232
10010791,53,16.8704239677409
10010792,25,7.957747154594767
10010793,7,2.228169203286535
10010794,12,3.819718634205488
10010795,26,8.276057040778557
10010796,19,6.047887837492023
10010797,1,0.3183098861837907
10010798,16,5.092958178940651
10010799,23,7.321127382227186
10010800,16,5.092958178940651
10010801,33,10.50422624406509
10010802,19,6.047887837492023
10010803,26,8.276057040778557
10010804,27,8.594366926962348
10010805,48,15.27887453682195
10010806,37,11.77746578880025
10010807,69,21.96338214668156
10010808,102,32.46760839074665
10010809,61,19.41690305721123
10010810,93,29.60281941509253
10010811,52,16.55211408155711
10010813,22,7.002817496043395
10010814,74,23.55493157760051
10010815,95,30.23943918746011
10010817,70,22.28169203286535
10010818,72,22.91831180523293
10010820,73,23.23662169141672
10010821,51,16.23380419537332
10010822,59,18.78028328484365
10010823,74,23.55493157760051
10010824,57,18.14366351247607
10010827,64,20.3718327157626
10010828,83,26.41972055325463
10010830,45,14.32394487827058
10010832,105,33.42253804929802
10010833,60,19.09859317102744
10010834,64,20.3718327157626
10010835,65,20.69014260194639
10010836,74,23.55493157760051
10010837,99,31.51267873219528
10010838,70,22.28169203286535
10010839,97,30.8760589598277
10010840,51,16.23380419537332
10010841,6,1.909859317102744
10010842,48,15.27887453682195
10010844,87,27.69296009798979
10010846,98,31.19436884601149
10020079,0,0
10020080,0,0
10020081,0,0
10020082,6,1.909859317102744
10020083,11,3.501408748021698
10020084,6,1.909859317102744
10020085,4,1.273239544735163
10020086,0,0
10020087,11,3.501408748021698
10020088,16,5.092958178940651
10020089,6,1.909859317102744
10020090,0,0
10020091,14,4.45633840657307
10020092,3,0.954929658551372
10020093,0,0
10020094,0,0
10020095,3,0.954929658551372
10020096,2,0.6366197723675814
10020097,42,13.36901521971921
10020098,13,4.138028520389279
10020099,0,0
10020100,25,7.957747154594767
10020101,43,13.687325105903
10020102,24,7.639437268410976
10020103,30,9.549296585513721
10020104,24,7.639437268410976
10020105,0,0
10020106,19,6.047887837492023
10020107,0,0
10020108,3,0.954929658551372
10020109,0,0
10020110,0,0
10020111,14,4.45633840657307
10020112,3,0.954929658551372
10020113,0,0
10020114,11,3.501408748021698
10020115,2,0.6366197723675814
10020116,18,5.729577951308232
10020117,0,0
10020118,21,6.684507609859605
10020119,35,11.14084601643267
10020120,9,2.864788975654116
10020121,0,0
10020122,14,4.45633840657307
10020123,17,5.411268065124442
10020124,2,0.6366197723675814
10020125,1,0.3183098861837907
10020126,2,0.6366197723675814
10020127,0,0
10020128,8,2.546479089470326
10020129,83,26.41972055325463
10020130,47,14.96056465063816
10020131,122,38.83380611442247
10020132,98,31.19436884601149
10020133,122,38.83380611442247
10020134,118,37.5605665696873
10020135,113,35.96901713876835
10020136,98,31.19436884601149
10020137,2,0.6366197723675814
10030056,0,0
10030057,14,4.45633840657307
10030058,0,0
10030059,11,3.501408748021698
10030060,6,1.909859317102744
10030061,0,0
10030062,1,0.3183098861837907
10030063,21,6.684507609859605
10030064,1,0.3183098861837907
10030065,0,0
10030066,15,4.774648292756861
10030067,26,8.276057040778557
10030068,38,12.09577567498405
10030069,0,0
10030070,0,0
10030071,0,0
10030072,40,12.73239544735163
10030073,34,10.82253613024888
10030074,46,14.64225476445437
10030075,51,16.23380419537332
10030076,31,9.867606471697512
10030077,0,0
10030078,1,0.3183098861837907
10030079,15,4.774648292756861
10030080,1,0.3183098861837907
10030081,11,3.501408748021698
10030082,0,0
10030083,12,3.819718634205488
10030084,5,1.591549430918954
10030085,37,11.77746578880025
10030086,32,10.1859163578813
10030087,35,11.14084601643267
10030088,33,10.50422624406509
10030089,38,12.09577567498405
10030090,59,18.78028328484365
10030091,53,16.8704239677409
10030092,29,9.23098669932993
10030093,21,6.684507609859605
10030094,0,0
10030095,5,1.591549430918954
10030096,1,0.3183098861837907
10030097,24,7.639437268410976
10030098,7,2.228169203286535
10040077,12,3.819718634205488
10040078,0,0
10040079,0,0
10040080,66,21.00845248813019
10040081,104,33.10422816311423
10040082,120,38.19718634205488
10040083,138,43.92676429336311
10040084,154,49.01972247230376
10040085,157,49.97465213085514
10040086,135,42.97183463481174
10040087,48,15.27887453682195
