DAUID,transit_stop_count
10010165,47
10010166,45
10010167,51
10010168,60
10010169,52
10010170,42
10010171,32
10010172,41
10010173,38
10010174,38
10010175,44
10010176,56
10010180,33
10010181,48
10010182,42
10010187,28
10010191,11
10010192,24
10010193,31
10010194,28
10010195,39
10010196,50
10010198,58
10010199,60
10010200,72
10010201,67
10010202,71
10010203,73
10010204,61
10010206,58
10010207,47
10010208,25
10010209,56
10010210,58
10010211,68
10010212,72
10010213,54
10010214,65
10010215,59
10010216,61
10010217,65
10010218,68
10010219,73
10010220,70
10010221,71
10010222,79
10010223,61
10010224,62
10010225,59
10010226,59
10010227,61
10010228,58
10010229,61
10010230,55
10010231,50
10010232,53
10010233,46
10010234,62
10010235,64
10010236,64
10010237,57
10010238,61
10010239,71
10010240,73
10010241,73
10010242,57
10010243,16
10010244,26
10010245,25
10010246,41
10010247,47
10010248,60
10010249,31
10010250,42
10010251,34
10010252,27
10010253,26
10010254,33
10010255,33
10010256,44
10010257,33
10010258,44
10010259,50
10010260,54
10010261,46
10010262,42
10010263,38
10010264,37
10010265,38
10010266,38
10010267,25
10010268,22
10010269,27
10010270,27
10010271,5
10010272,9
10010273,19
10010276,29
10010277,29
10010278,33
10010279,46
10010280,30
10010281,27
10010282,28
10010283,30
10010284,56
10010285,56
10010286,33
10010290,44
10010294,49
10010295,49
10010296,49
10010297,51
10010298,50
10010299,53
10010300,56
10010301,55
10010302,55
10010303,55
10010304,55
10010305,50
10010306,60
10010307,68
10010308,54
10010309,51
10010310,40
10010334,10
10010337,28
10010338,34
10010339,37
10010340,38
10010341,38
10010342,40
10010343,33
10010344,23
10010345,30
10010346,30
10010348,8
10010356,42
10010357,34
10010457,57
10010458,58
10010459,65
10010460,58
10010461,59
10010482,37
10010484,53
10010485,27
10010486,18
10010488,63
10010489,50
10010490,44
10010491,8
10010492,33
10010493,30
10010494,31
10010495,31
10010496,0
10010497,0
10010498,0
10010499,0
10010500,0
10010501,0
10010502,0
10010503,0
10010504,0
10010505,0
10010506,0
10010507,0
10010508,0
10010509,0
10010510,0
10010511,0
10010512,0
10010513,0
10010514,0
10010515,0
10010516,0
10010517,0
10010518,0
10010519,0
10010520,0
10010521,0
10010522,0
10010523,0
10010524,0
10010525,0
10010526,0
10010527,0
10010528,0
10010529,0
10010530,0
10010531,0
10010532,0
10010533,0
10010534,0
10010535,0
10010536,0
10010537,0
10010538,0
10010539,0
10010540,0
10010541,0
10010542,0
10010543,0
10010544,0
10010545,0
10010546,0
10010547,0
10010548,0
10010549,0
10010550,0
10010551,0
10010552,0
10010553,0
10010554,0
10010555,0
10010556,0
10010557,0
10010558,0
10010559,0
10010560,0
10010561,0
10010562,0
10010563,0
10010564,0
10010565,0
10010566,0
10010567,0
10010568,0
10010569,0
10010570,0
10010571,0
